geoid,tactile_paving,wheelchair,ramp_kerb,traffic_signals_sound,Video_ID,Sign_Label,Bounding_Box_Coords,Landmark_Keypoints,HTML_Snippet,WCAG_Violation
node_84791,yes,no,yes,no,vid_0016,train,"[0.13, 0.1, 0.3, 0.29]","[[0.874, 0.424, -0.02], [0.757, 0.735, -0.097], [0.093, 0.87, 0.007]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_86757,no,no,flush,no,vid_0017,thank_you,"[0.16, 0.47, 0.3, 0.24]","[[0.594, 0.264, -0.096], [0.178, 0.984, 0.001], [0.412, 0.802, 0.019]]",<button>Submit</button>,None
node_87980,incorrect,yes,yes,no,vid_0018,thank_you,"[0.47, 0.26, 0.18, 0.27]","[[0.129, 0.944, 0.042], [0.091, 0.434, 0.027], [0.911, 0.768, -0.02]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_84973,yes,yes,no,no,vid_0019,hello,"[0.31, 0.22, 0.22, 0.24]","[[0.294, 0.792, -0.01], [0.276, 0.081, -0.004], [0.028, 0.9, -0.023]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_12044,no,limited,no,no,vid_0020,hello,"[0.35, 0.17, 0.33, 0.4]","[[0.976, 0.862, -0.091], [0.847, 0.268, 0.045], [0.437, 0.516, 0.096]]",<img src='map.png'>,Missing_Alt_Text
node_60806,yes,yes,no,no,vid_0021,no,"[0.17, 0.49, 0.25, 0.26]","[[0.127, 0.169, -0.059], [0.634, 0.632, 0.064], [0.295, 0.682, 0.035]]",<img src='map.png'>,Missing_Alt_Text
node_29525,no,yes,no,no,vid_0022,no,"[0.47, 0.32, 0.17, 0.25]","[[0.854, 0.56, 0.025], [0.788, 0.969, -0.099], [0.731, 0.822, 0.04]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_62806,no,yes,no,no,vid_0023,danger,"[0.33, 0.43, 0.18, 0.5]","[[0.598, 0.906, 0.027], [0.883, 0.989, 0.013], [0.698, 0.292, -0.042]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_80387,yes,yes,flush,yes,vid_0024,danger,"[0.3, 0.18, 0.33, 0.31]","[[0.443, 0.681, 0.078], [0.194, 0.157, 0.099], [0.064, 0.256, -0.064]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_14522,no,yes,no,yes,vid_0025,thank_you,"[0.33, 0.24, 0.38, 0.2]","[[0.695, 0.229, 0.046], [0.835, 0.321, -0.003], [0.677, 0.277, 0.095]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_78442,incorrect,no,no,no,vid_0026,no,"[0.23, 0.31, 0.31, 0.42]","[[0.616, 0.177, -0.066], [0.587, 0.377, -0.093], [0.737, 0.211, -0.049]]",<button>Submit</button>,None
node_67010,no,no,flush,no,vid_0027,hospital,"[0.45, 0.29, 0.38, 0.32]","[[0.447, 0.393, -0.043], [0.54, 0.795, 0.012], [0.798, 0.948, -0.035]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_57714,no,yes,lowered,no,vid_0028,thank_you,"[0.59, 0.31, 0.33, 0.44]","[[0.177, 0.592, 0.059], [0.995, 0.812, 0.092], [0.251, 0.406, -0.019]]",<img src='map.png'>,Missing_Alt_Text
node_19666,no,yes,no,yes,vid_0029,train,"[0.13, 0.46, 0.31, 0.24]","[[0.675, 0.485, 0.029], [0.574, 0.051, -0.073], [0.671, 0.669, 0.006]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_74649,yes,yes,no,no,vid_0030,thank_you,"[0.31, 0.43, 0.34, 0.26]","[[0.835, 0.071, -0.023], [0.944, 0.622, -0.083], [0.826, 0.328, -0.051]]",<img src='map.png'>,Missing_Alt_Text
node_86670,no,limited,no,yes,vid_0031,stop,"[0.26, 0.48, 0.18, 0.23]","[[0.91, 0.833, -0.053], [0.274, 0.75, -0.044], [0.016, 0.749, -0.032]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_52955,no,no,yes,no,vid_0032,help,"[0.2, 0.48, 0.36, 0.25]","[[0.312, 0.248, 0.02], [0.135, 0.697, -0.028], [0.382, 0.299, -0.063]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_94336,yes,limited,no,no,vid_0033,no,"[0.24, 0.11, 0.28, 0.33]","[[0.864, 0.407, -0.053], [0.607, 0.563, -0.087], [0.499, 0.647, -0.069]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_36596,yes,yes,yes,no,vid_0034,thank_you,"[0.32, 0.16, 0.23, 0.33]","[[0.478, 0.825, 0.047], [0.317, 0.569, 0.075], [0.674, 0.899, -0.042]]",<button>Submit</button>,None
node_80404,yes,no,no,no,vid_0035,no,"[0.38, 0.31, 0.21, 0.22]","[[0.808, 0.798, 0.05], [0.697, 0.016, 0.014], [0.687, 0.634, -0.051]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_33752,incorrect,no,no,no,vid_0036,hospital,"[0.37, 0.35, 0.38, 0.29]","[[0.185, 0.772, 0.066], [0.653, 0.076, 0.094], [0.126, 0.124, -0.009]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_22290,no,limited,no,no,vid_0037,thank_you,"[0.16, 0.24, 0.28, 0.47]","[[0.42, 0.565, 0.047], [0.415, 0.244, 0.021], [0.865, 0.46, 0.011]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_41974,yes,yes,flush,no,vid_0038,thank_you,"[0.51, 0.46, 0.28, 0.23]","[[0.071, 0.493, -0.004], [0.213, 0.429, -0.054], [0.21, 0.085, 0.032]]",<img src='map.png'>,Missing_Alt_Text
node_22912,no,yes,flush,yes,vid_0039,hospital,"[0.48, 0.37, 0.23, 0.37]","[[0.384, 0.751, -0.002], [0.383, 0.428, 0.019], [0.914, 0.771, -0.036]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_94736,no,yes,yes,yes,vid_0040,yes,"[0.19, 0.23, 0.2, 0.3]","[[0.517, 0.155, 0.065], [0.119, 0.735, 0.031], [0.066, 0.028, -0.1]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_39261,yes,yes,lowered,no,vid_0041,thank_you,"[0.12, 0.19, 0.19, 0.28]","[[0.942, 0.685, -0.085], [0.639, 0.847, -0.067], [0.542, 0.766, 0.019]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_89931,yes,limited,lowered,no,vid_0042,hospital,"[0.59, 0.39, 0.17, 0.39]","[[0.858, 0.863, 0.025], [0.161, 0.265, -0.059], [0.675, 0.41, 0.03]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_25013,yes,no,yes,no,vid_0043,danger,"[0.34, 0.5, 0.21, 0.24]","[[0.903, 0.724, -0.027], [0.959, 0.433, 0.049], [0.931, 0.859, -0.056]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_12967,yes,limited,yes,no,vid_0044,hospital,"[0.22, 0.44, 0.37, 0.33]","[[0.308, 0.675, -0.047], [0.536, 0.469, 0.093], [0.586, 0.218, -0.027]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_68691,incorrect,yes,no,no,vid_0045,yes,"[0.5, 0.35, 0.38, 0.3]","[[0.389, 0.762, 0.006], [0.896, 0.823, -0.024], [0.663, 0.853, -0.051]]",<button>Submit</button>,None
node_99290,no,yes,yes,no,vid_0046,hospital,"[0.29, 0.35, 0.37, 0.25]","[[0.884, 0.029, 0.032], [0.398, 0.432, -0.032], [0.825, 0.118, 0.065]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_92550,no,yes,yes,yes,vid_0047,hospital,"[0.21, 0.4, 0.25, 0.37]","[[0.929, 0.749, 0.091], [0.982, 0.042, 0.015], [0.999, 0.569, -0.054]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_94288,yes,no,yes,no,vid_0048,hospital,"[0.15, 0.26, 0.17, 0.34]","[[0.75, 0.255, 0.098], [0.108, 0.304, 0.027], [0.939, 0.943, 0.065]]",<button>Submit</button>,None
node_34865,yes,no,yes,no,vid_0049,yes,"[0.4, 0.14, 0.22, 0.33]","[[0.893, 0.132, -0.096], [0.319, 0.915, -0.081], [0.227, 0.901, 0.036]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_36922,no,yes,yes,no,vid_0050,bus,"[0.3, 0.46, 0.22, 0.26]","[[0.992, 0.816, 0.098], [0.253, 0.641, -0.017], [0.135, 0.033, -0.056]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_80631,yes,no,lowered,yes,vid_0051,hello,"[0.54, 0.23, 0.15, 0.2]","[[0.078, 0.839, -0.068], [0.409, 0.13, -0.01], [0.169, 0.132, 0.033]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_93056,yes,no,no,yes,vid_0052,yes,"[0.34, 0.18, 0.3, 0.41]","[[0.962, 0.424, -0.097], [0.705, 0.129, -0.082], [0.84, 0.007, 0.043]]",<img src='logo.svg' alt='Company Logo'>,None
node_80808,yes,yes,yes,no,vid_0053,bus,"[0.26, 0.2, 0.22, 0.48]","[[0.919, 0.435, 0.047], [0.662, 0.285, -0.088], [0.099, 0.745, 0.024]]",<button>Submit</button>,None
node_64822,no,yes,lowered,yes,vid_0054,help,"[0.46, 0.19, 0.18, 0.4]","[[0.443, 0.476, 0.033], [0.554, 0.002, -0.05], [0.82, 0.205, -0.017]]",<button>Submit</button>,None
node_91089,yes,no,no,no,vid_0055,danger,"[0.27, 0.1, 0.33, 0.3]","[[0.559, 0.194, 0.078], [0.153, 0.801, -0.016], [0.772, 0.89, -0.032]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_29887,yes,no,no,no,vid_0056,help,"[0.59, 0.14, 0.36, 0.49]","[[0.574, 0.669, 0.004], [0.104, 0.841, -0.074], [0.697, 0.847, -0.053]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_92862,no,yes,yes,no,vid_0057,help,"[0.17, 0.49, 0.16, 0.41]","[[0.813, 0.207, -0.088], [0.56, 0.13, -0.089], [0.613, 0.748, -0.026]]",<img src='logo.svg' alt='Company Logo'>,None
node_29440,no,no,yes,no,vid_0058,stop,"[0.11, 0.2, 0.2, 0.35]","[[0.853, 0.338, 0.087], [0.742, 0.122, 0.006], [0.267, 0.136, 0.006]]",<img src='map.png'>,Missing_Alt_Text
node_42005,no,no,yes,no,vid_0059,train,"[0.2, 0.22, 0.31, 0.4]","[[0.251, 0.987, -0.075], [0.464, 0.118, 0.025], [0.014, 0.382, -0.068]]",<button>Submit</button>,None
node_82712,no,no,flush,no,vid_0060,danger,"[0.21, 0.32, 0.21, 0.28]","[[0.768, 0.232, 0.008], [0.104, 0.772, 0.098], [0.418, 0.704, 0.095]]",<img src='map.png'>,Missing_Alt_Text
node_68643,yes,limited,lowered,no,vid_0061,danger,"[0.5, 0.43, 0.33, 0.25]","[[0.429, 0.056, -0.002], [0.103, 0.413, 0.077], [0.761, 0.829, -0.013]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_85847,yes,limited,flush,no,vid_0062,hospital,"[0.19, 0.21, 0.32, 0.35]","[[0.439, 0.789, -0.08], [0.062, 0.928, 0.022], [0.652, 0.526, 0.002]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_98087,no,yes,yes,yes,vid_0063,stop,"[0.38, 0.14, 0.28, 0.43]","[[0.735, 0.828, -0.014], [0.963, 0.643, -0.045], [0.652, 0.614, 0.089]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_68810,incorrect,no,no,no,vid_0064,danger,"[0.54, 0.43, 0.17, 0.46]","[[0.95, 0.768, -0.047], [0.238, 0.675, -0.029], [0.667, 0.711, -0.087]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_99061,no,yes,yes,yes,vid_0065,stop,"[0.21, 0.18, 0.3, 0.29]","[[0.977, 0.045, 0.026], [0.661, 0.918, 0.057], [0.194, 0.95, -0.09]]",<button>Submit</button>,None
node_44402,incorrect,no,yes,yes,vid_0066,train,"[0.57, 0.33, 0.39, 0.37]","[[0.27, 0.041, 0.091], [0.518, 0.731, 0.077], [0.224, 0.365, 0.057]]",<img src='logo.svg' alt='Company Logo'>,None
node_76580,no,yes,no,no,vid_0067,stop,"[0.2, 0.18, 0.33, 0.3]","[[0.981, 0.214, -0.049], [0.343, 0.163, -0.081], [0.603, 0.341, 0.096]]",<img src='logo.svg' alt='Company Logo'>,None
node_33457,yes,yes,no,yes,vid_0068,thank_you,"[0.42, 0.39, 0.24, 0.42]","[[0.947, 0.925, 0.006], [0.651, 0.615, -0.034], [0.131, 0.411, -0.018]]",<img src='logo.svg' alt='Company Logo'>,None
node_72013,no,no,no,no,vid_0069,thank_you,"[0.15, 0.34, 0.39, 0.36]","[[0.592, 0.131, -0.001], [0.043, 0.317, -0.044], [0.136, 0.308, -0.062]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_16755,no,no,yes,no,vid_0070,hospital,"[0.56, 0.14, 0.19, 0.31]","[[0.304, 0.783, -0.086], [0.063, 0.909, 0.002], [0.049, 0.684, 0.033]]",<img src='map.png'>,Missing_Alt_Text
node_10516,yes,yes,no,yes,vid_0071,train,"[0.52, 0.22, 0.19, 0.3]","[[0.924, 0.639, -0.052], [0.09, 0.02, -0.084], [0.981, 0.815, 0.026]]",<img src='logo.svg' alt='Company Logo'>,None
node_58760,yes,no,no,no,vid_0072,thank_you,"[0.52, 0.14, 0.31, 0.46]","[[0.476, 0.668, 0.026], [0.156, 0.5, -0.011], [0.932, 0.292, 0.001]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_45093,yes,yes,yes,no,vid_0073,danger,"[0.41, 0.45, 0.37, 0.4]","[[0.12, 0.101, -0.066], [0.221, 0.645, -0.04], [0.992, 0.839, 0.004]]",<img src='map.png'>,Missing_Alt_Text
node_61586,no,no,no,no,vid_0074,thank_you,"[0.21, 0.39, 0.39, 0.39]","[[0.736, 0.996, -0.028], [0.226, 0.147, -0.055], [0.564, 0.175, 0.062]]",<img src='map.png'>,Missing_Alt_Text
node_37297,yes,yes,flush,yes,vid_0075,no,"[0.18, 0.23, 0.39, 0.44]","[[0.998, 0.171, 0.081], [0.751, 0.336, 0.057], [0.862, 0.917, 0.034]]",<img src='map.png'>,Missing_Alt_Text
node_28446,yes,limited,no,no,vid_0076,yes,"[0.28, 0.42, 0.25, 0.25]","[[0.519, 0.049, 0.08], [0.991, 0.773, -0.018], [0.329, 0.16, -0.084]]",<img src='map.png'>,Missing_Alt_Text
node_57864,no,no,no,no,vid_0077,thank_you,"[0.55, 0.47, 0.17, 0.36]","[[0.932, 0.197, -0.036], [0.946, 0.942, -0.081], [0.53, 0.344, 0.023]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_62720,yes,no,yes,no,vid_0078,yes,"[0.6, 0.11, 0.33, 0.46]","[[0.381, 0.562, 0.036], [0.341, 0.208, -0.006], [0.409, 0.384, -0.071]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_92036,yes,limited,no,no,vid_0079,danger,"[0.34, 0.11, 0.23, 0.29]","[[0.736, 0.445, -0.098], [0.98, 0.936, 0.023], [0.717, 0.024, -0.023]]",<img src='logo.svg' alt='Company Logo'>,None
node_45543,yes,yes,flush,no,vid_0080,danger,"[0.26, 0.39, 0.32, 0.5]","[[0.286, 0.332, 0.037], [0.125, 0.019, 0.035], [0.097, 0.276, -0.045]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_70629,no,no,lowered,no,vid_0081,danger,"[0.58, 0.27, 0.29, 0.5]","[[0.742, 0.969, 0.096], [0.258, 0.744, -0.01], [0.178, 0.282, -0.041]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_30544,yes,no,lowered,yes,vid_0082,stop,"[0.4, 0.28, 0.37, 0.49]","[[0.334, 0.252, 0.093], [0.401, 0.042, 0.095], [0.838, 0.467, 0.035]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_53171,yes,limited,no,no,vid_0083,no,"[0.18, 0.16, 0.39, 0.3]","[[0.837, 0.559, 0.067], [0.77, 0.718, -0.056], [0.537, 0.003, 0.062]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_29617,no,yes,no,no,vid_0084,bus,"[0.51, 0.23, 0.25, 0.32]","[[0.166, 0.694, 0.044], [0.914, 0.747, 0.06], [0.429, 0.77, -0.098]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_36832,yes,yes,flush,no,vid_0085,hello,"[0.36, 0.37, 0.38, 0.4]","[[0.662, 0.506, 0.02], [0.392, 0.314, 0.064], [0.343, 0.036, -0.06]]",<button>Submit</button>,None
node_51651,no,limited,no,no,vid_0086,train,"[0.22, 0.27, 0.23, 0.3]","[[0.732, 0.032, 0.037], [0.598, 0.993, 0.052], [0.215, 0.605, -0.086]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_71184,no,limited,no,yes,vid_0087,bus,"[0.43, 0.12, 0.35, 0.22]","[[0.541, 0.926, 0.006], [0.787, 0.198, 0.022], [0.249, 0.612, 0.078]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_30276,no,limited,flush,no,vid_0088,yes,"[0.24, 0.27, 0.26, 0.45]","[[0.817, 0.625, -0.064], [0.603, 0.56, -0.049], [0.222, 0.485, 0.0]]",<button>Submit</button>,None
node_58247,yes,limited,no,no,vid_0089,danger,"[0.19, 0.28, 0.38, 0.43]","[[0.37, 0.978, -0.04], [0.275, 0.716, 0.064], [0.351, 0.543, -0.021]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_48847,no,yes,yes,no,vid_0090,hello,"[0.2, 0.47, 0.2, 0.33]","[[0.433, 0.525, -0.047], [0.565, 0.298, -0.039], [0.52, 0.568, 0.049]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_60979,no,yes,flush,no,vid_0091,stop,"[0.25, 0.26, 0.3, 0.38]","[[0.143, 0.877, 0.079], [0.641, 0.025, -0.069], [0.642, 0.809, 0.004]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_75793,no,yes,lowered,yes,vid_0092,yes,"[0.47, 0.5, 0.33, 0.35]","[[0.613, 0.682, -0.078], [0.481, 0.732, -0.006], [0.057, 0.523, -0.006]]",<img src='map.png'>,Missing_Alt_Text
node_50122,yes,yes,flush,no,vid_0093,bus,"[0.39, 0.22, 0.23, 0.21]","[[0.169, 0.524, 0.025], [0.68, 0.933, 0.1], [0.391, 0.316, 0.023]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_30175,no,yes,no,no,vid_0094,train,"[0.26, 0.5, 0.26, 0.45]","[[0.817, 0.253, -0.047], [0.797, 0.862, 0.004], [0.837, 0.686, 0.053]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_20356,no,yes,no,no,vid_0095,bus,"[0.39, 0.38, 0.34, 0.2]","[[0.688, 0.571, -0.08], [0.825, 0.706, -0.081], [0.161, 0.902, 0.053]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_50951,yes,no,no,no,vid_0096,thank_you,"[0.14, 0.13, 0.39, 0.33]","[[0.596, 0.093, 0.019], [0.008, 0.976, 0.014], [0.981, 0.693, 0.093]]",<img src='map.png'>,Missing_Alt_Text
node_75598,no,yes,flush,yes,vid_0097,yes,"[0.41, 0.45, 0.29, 0.37]","[[0.043, 0.339, -0.033], [0.596, 0.773, -0.03], [0.978, 0.771, -0.002]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_55866,no,yes,no,no,vid_0098,train,"[0.25, 0.41, 0.27, 0.41]","[[0.595, 0.865, 0.085], [0.862, 0.555, -0.078], [0.906, 0.33, 0.075]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_75265,yes,yes,flush,no,vid_0099,bus,"[0.12, 0.23, 0.2, 0.31]","[[0.25, 0.318, -0.026], [0.414, 0.028, -0.063], [0.387, 0.095, -0.087]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_73903,no,yes,yes,no,vid_0100,hospital,"[0.37, 0.23, 0.18, 0.25]","[[0.7, 0.648, -0.091], [0.071, 0.74, -0.05], [0.561, 0.822, -0.055]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_97377,no,yes,yes,no,vid_0101,stop,"[0.4, 0.46, 0.16, 0.34]","[[0.308, 0.007, 0.023], [0.625, 0.209, -0.025], [0.048, 0.747, -0.081]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_37052,no,limited,yes,yes,vid_0102,hospital,"[0.26, 0.32, 0.4, 0.48]","[[0.136, 0.366, -0.001], [0.48, 0.06, -0.09], [0.543, 0.146, -0.04]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_24147,yes,yes,lowered,no,vid_0103,train,"[0.5, 0.16, 0.26, 0.47]","[[0.661, 0.431, -0.055], [0.822, 0.147, 0.063], [0.934, 0.53, -0.072]]",<img src='logo.svg' alt='Company Logo'>,None
node_87159,no,no,yes,no,vid_0104,danger,"[0.5, 0.46, 0.24, 0.49]","[[0.061, 0.979, -0.061], [0.566, 0.996, -0.023], [0.07, 0.538, 0.016]]",<img src='logo.svg' alt='Company Logo'>,None
node_37708,yes,yes,flush,yes,vid_0105,train,"[0.33, 0.29, 0.19, 0.42]","[[0.885, 0.028, 0.096], [0.526, 0.282, 0.094], [0.121, 0.562, -0.08]]",<button>Submit</button>,None
node_26351,yes,limited,yes,no,vid_0106,hospital,"[0.52, 0.18, 0.39, 0.22]","[[0.919, 0.946, 0.004], [0.551, 0.8, 0.011], [0.345, 0.428, -0.087]]",<img src='map.png'>,Missing_Alt_Text
node_25860,no,yes,no,no,vid_0107,train,"[0.21, 0.29, 0.2, 0.2]","[[0.371, 0.109, -0.072], [0.016, 0.282, -0.005], [0.056, 0.863, 0.001]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_64518,yes,yes,lowered,yes,vid_0108,help,"[0.53, 0.14, 0.25, 0.24]","[[0.062, 0.28, -0.019], [0.301, 0.969, -0.081], [0.287, 0.46, 0.001]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_60802,no,limited,no,yes,vid_0109,bus,"[0.57, 0.44, 0.22, 0.37]","[[0.9, 0.81, -0.079], [0.593, 0.655, 0.064], [0.998, 0.904, -0.082]]",<img src='map.png'>,Missing_Alt_Text
node_29132,yes,yes,lowered,no,vid_0110,bus,"[0.47, 0.24, 0.23, 0.34]","[[0.211, 0.056, 0.006], [0.301, 0.754, -0.067], [0.975, 0.129, -0.083]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_89151,no,limited,yes,no,vid_0111,hello,"[0.47, 0.11, 0.32, 0.41]","[[0.199, 0.725, -0.057], [0.065, 0.293, 0.072], [0.597, 0.627, 0.031]]",<img src='logo.svg' alt='Company Logo'>,None
node_50385,no,no,yes,no,vid_0112,thank_you,"[0.57, 0.18, 0.38, 0.33]","[[0.54, 0.198, 0.034], [0.214, 0.694, 0.01], [0.524, 0.343, 0.023]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_76628,no,no,no,yes,vid_0113,hello,"[0.4, 0.38, 0.22, 0.35]","[[0.439, 0.873, -0.01], [0.351, 0.689, 0.094], [0.538, 0.126, 0.045]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_77820,no,limited,yes,no,vid_0114,yes,"[0.12, 0.26, 0.16, 0.22]","[[0.174, 0.247, 0.013], [0.633, 0.28, 0.034], [0.794, 0.044, -0.027]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_89053,no,no,yes,no,vid_0115,train,"[0.14, 0.14, 0.34, 0.47]","[[0.564, 0.413, 0.028], [0.943, 0.155, 0.029], [0.788, 0.007, -0.075]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
